precinct_name,majority
0326 GOLDFIELD RANCH,rep
0445 LEHI,rep
0033 ARLINGTON,rep
0699 ROBBINS BUTTE,rep
0200 DEADMAN WASH,rep
0878 VISTA VERDE,rep
0882 WADDELL,rep
0769 SONOQUI,rep
0149 COLT,rep
0825 TABLE MESA,rep
0213 DESERT HILLS,rep
0908 WICKENBURG,rep
0321 GLENVIEW,rep
0547 NEW RIVER,rep
0194 DALE,rep
0623 PAYNE,rep
0733 SANTAN,rep
0692 RIO VERDE,rep
0713 RUSSET,rep
0903 WHITE TANK,rep
0331 GRANITE MOUNTAIN,rep
0135 CLAY MINE,rep
0061 BISCUIT FLAT,rep
0451 LIME,rep
0489 MARICOPA MOUNTAINS,rep
0028 ARBOLEDA,rep
0212 DESERT HIGHLANDS,rep
0650 POINCIANA,rep
0535 MORRISTOWN,rep
0538 MOUNTAIN VISTA,rep
0449 LIBERTY,rep
0668 QUEEN CREEK,rep
0464 LONGBOW,rep
0604 PALM RIDGE,rep
0861 USERY PASS,rep
0099 CANDLELIGHT,rep
0644 PINNACLE PEAK,rep
0401 JASMINE,rep
0179 COYOTE HILLS,rep
0355 HARVEST,rep
0068 BLUE SKY,rep
0349 HAPPY VALLEY,rep
0106 CAREFREE,rep
0468 LOS ALAMOS,rep
0582 OAKWOOD COUNTRY CLUB,rep
0125 CHENEY,rep
0184 CRESCENT,rep
0264 ENTZ,rep
0428 LAKE PLEASANT,rep
0763 SKY HAWK,rep
0887 WATSON,rep
0340 GREYSTONE,rep
0459 LOMA VERDES,rep
0895 WESTBROOK,rep
0925 WOLF RUN,rep
0935 ZUNI HILLS,rep
0527 MOLLY,rep
0036 ASANTE,rep
0407 JOY RANCH,rep
0924 WITTMANN,rep
0770 SOSSAMAN,rep
0625 PEAK VIEW,rep
0829 TERRAVITA,rep
0429 LAKEVIEW,rep
0611 PALO CRISTI,rep
0693 RITTENHOUSE,rep
0280 FENIMORE,rep
0064 BLACK GOLD,rep
0802 SUN VALLEY,rep
0461 LONE MOUNTAIN,rep
0262 ENCLAVE,rep
0539 MOUNTAINSIDE,rep
0348 HAPPY TRAILS,rep
0173 COTTONTAIL,rep
0244 DUSTY TRAIL,rep
0116 CAVE CREEK,rep
0626 PEBBLE CREEK,rep
0364 HERMOSA VISTA,rep
0446 LEISURE WORLD,rep
0101 CANYON,rep
0759 SILVER CREEK,rep
0834 TIERRA MADRE,rep
0716 SAGUARO,rep
0369 HIGHLAND,rep
0078 BRONCO,rep
0171 CORTINA,rep
0519 MIMOSA,rep
0893 WEST WING,rep
0281 FESTIVAL,rep
0307 GENE AUTRY,rep
0533 MONTOYA,rep
0787 STARDUST,rep
0332 GRAYHAWK,rep
0029 ARBOR,rep
0714 SADDLE RIDGE,rep
0674 RANCHO PALOMA,rep
0008 AGUILA,rep
0075 BOULDER MOUNTAIN,rep
0205 DENALI,rep
0097 CAMPBELL,rep
0645 PINNACLE WEST,rep
0181 CRABAPPLE,rep
0593 ORCHID,rep
0415 KAIBAB,rep
0462 LONE TREE,rep
0683 REGAL,rep
